cell,variant,model,corpus,kind,quantitative,unmatched,n_windows,n_docs,bpb,gain,gain_ci,c_hat,fit_accepted,beta,Linf,beta_ci,fit_reason
q25c-0.5b__mathlib__full_topo__perdoc,masked_c2026_02,q25c-0.5b,mathlib,full_topo__perdoc,False,False,25,25,0.6779,0.15529159088434408,,5792.618751480198,False,,,,cell below quantitative floors (w=25 d=25)
q25c-0.5b__mathlib__full_topo__ph16384,main,q25c-0.5b,mathlib,full_topo__ph16384,True,False,24,218,0.6129,0.9093962777602527,"[0.7808117685763042, 1.0540386818911716]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph16384,masked_c2024_11,q25c-0.5b,mathlib,full_topo__ph16384,True,False,22,94,0.6341,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph16384,masked_c2025_04,q25c-0.5b,mathlib,full_topo__ph16384,True,False,22,72,0.6391,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph16384,masked_c2026_02,q25c-0.5b,mathlib,full_topo__ph16384,False,False,15,25,0.6377,,,,False,,,,cell below quantitative floors (w=15 d=25)
q25c-0.5b__mathlib__full_topo__ph24576,main,q25c-0.5b,mathlib,full_topo__ph24576,True,False,24,213,0.6152,0.8871443537580712,"[0.7225673993914739, 1.0509928981931214]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph24576,masked_c2024_11,q25c-0.5b,mathlib,full_topo__ph24576,True,False,23,92,0.6338,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph24576,masked_c2025_04,q25c-0.5b,mathlib,full_topo__ph24576,True,False,20,71,0.6392,,,,False,,,,non-contiguous valid-bin support
q25c-0.5b__mathlib__full_topo__ph24576,masked_c2026_02,q25c-0.5b,mathlib,full_topo__ph24576,False,False,13,25,0.6408,,,,False,,,,cell below quantitative floors (w=13 d=25)
q25c-0.5b__mathlib__full_topo__ph8192,main,q25c-0.5b,mathlib,full_topo__ph8192,True,False,25,218,0.6178,1.093325530357614,"[0.9790232969707525, 1.2517499543398984]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph8192,masked_c2024_11,q25c-0.5b,mathlib,full_topo__ph8192,True,False,23,94,0.6454,1.1639447700855783,"[0.946260331592107, 1.3570462762283135]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph8192,masked_c2025_04,q25c-0.5b,mathlib,full_topo__ph8192,True,False,22,72,0.6509,,,,False,,,,insufficient bins for the frozen holdout gate
q25c-0.5b__mathlib__full_topo__ph8192,masked_c2026_02,q25c-0.5b,mathlib,full_topo__ph8192,False,False,16,25,0.6433,,,,False,,,,cell below quantitative floors (w=16 d=25)
q25c-0.5b__mathlib__full_topo_s2,main,q25c-0.5b,mathlib,full_topo_s2,True,False,25,199,0.5847,1.0476557459581768,"[0.8841644194482026, 1.2275789462655278]",23170.47500592079,False,,,,failed frozen holdout gate
q25c-0.5b__mathlib__full_topo_xl,main,q25c-0.5b,mathlib,full_topo_xl,True,True,122,1021,0.5866,0.9321069884507868,"[0.8647720604862071, 1.003479600318929]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__clean_c2024_11,main,q25c-0.5b,physlib,clean_c2024_11,False,False,4,26,0.5524,,,,False,,,,cell below quantitative floors (w=4 d=26)
q25c-0.5b__physlib__full_shuffled,main,q25c-0.5b,physlib,full_shuffled,True,False,25,170,0.5516,1.0599921521257125,"[0.9420626057628635, 1.1882361497766951]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo,main,q25c-0.5b,physlib,full_topo,True,False,25,170,0.5208,1.0749463564739323,"[0.945642099326159, 1.1923185602532986]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo,masked_c2024_11,q25c-0.5b,physlib,full_topo,True,False,25,132,0.5255,1.0469894608977182,"[0.8863970187067249, 1.2072943953676114]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo,masked_c2025_04,q25c-0.5b,physlib,full_topo,True,False,24,96,0.5446,1.0789204845193185,"[0.9055504481652661, 1.2487541964789435]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__physlib__full_topo,masked_c2026_02,q25c-0.5b,physlib,full_topo,True,False,18,47,0.509,1.0550472256533205,"[0.8781027345956458, 1.2541145372201086]",11585.237502960395,False,,,,non-contiguous valid-bin support
q25c-0.5b__physlib__full_topo__perdoc,main,q25c-0.5b,physlib,full_topo__perdoc,True,False,171,170,0.5648,0.4963472669685221,"[0.4132972014551838, 0.6016428790597919]",11585.237502960395,False,,,,non-contiguous valid-bin support
q25c-0.5b__physlib__full_topo__perdoc,masked_c2024_11,q25c-0.5b,physlib,full_topo__perdoc,True,False,133,132,0.5671,0.5231557861305847,"[0.43198996147839885, 0.6320911003463248]",11585.237502960395,False,,,,non-contiguous valid-bin support
q25c-0.5b__physlib__full_topo__perdoc,masked_c2025_04,q25c-0.5b,physlib,full_topo__perdoc,True,False,97,96,0.5777,0.4999736528296453,"[0.38748263009842593, 0.6193788973732133]",11585.237502960395,False,,,,non-contiguous valid-bin support
q25c-0.5b__physlib__full_topo__perdoc,masked_c2026_02,q25c-0.5b,physlib,full_topo__perdoc,True,False,48,47,0.5516,0.5312417772529066,"[0.3775921131841141, 0.6683759083525179]",23170.47500592079,False,,,,non-contiguous valid-bin support
q25c-0.5b__physlib__full_topo__ph16384,main,q25c-0.5b,physlib,full_topo__ph16384,True,False,25,168,0.5262,1.1186794204384451,"[0.9510794876657965, 1.3032985328421076]",46340.95001184158,False,,,,failed frozen holdout gate
